Year,Month,SST,SSC,AT,RH,SLP,TC,TOTALOIL,Label
2010,1,28.65953488,0.24,27.92702128,76.0673913,1013.38625,3.438297872,48131.725,PFZ
2010,2,28.50688889,0.19,28.14040816,74.97959184,1012.342449,2.791836735,20158.942,PFZ
2010,3,29.35906977,0.18,28.9225,76.35957447,1012.280417,3.511111111,33400.703,NPFZ
2010,4,30.38585366,0.26,29.80125,78.61041667,1009.744792,4.110638298,7268.411,NPFZ
2010,5,30.7493617,0.24,30.292,77.5,1008.2896,4.424,16186.259,NPFZ
2010,6,29.26979592,0.26,28.53979592,81.12857143,1007.8256,6.142857143,15007.071,NPFZ
2010,7,28.4944898,0.12,27.64938776,83.66530612,1007.7904,6.606122449,15495.134,NPFZ
2010,8,27.47044444,0.19,27.06304348,83.36086957,1009.054681,5.747826087,6259.526,NPFZ
2010,9,28.02,0.17,27.72416667,81.70625,1008.252,5.12244898,29318.867,PFZ
2010,10,29.01077254,0.21,28.36958392,79.34846392,1010.44615,4.794784279,37132.879,PFZ
2010,11,29.00098039,0.19,27.97333333,79.55098039,1009.366078,4.888235294,52090.46,PFZ
2010,12,28.392,0.12,27.45888889,74.52444444,1009.368636,3.581395349,71906.825,PFZ
2011,1,27.92444444,0.18,27.25212766,75.68695652,1011.223556,2.917391304,57378.142,PFZ
2011,2,27.93522727,0.19,27.48979167,72.12340426,1011.401875,2.745833333,32440.026,PFZ
2011,3,28.71387755,0.16,28.50653061,75.6755102,1010.495918,2.683333333,5138.233,NPFZ
2011,4,29.66704545,0.18,29.43369565,75.32173913,1009.73087,3.620454545,28827.87,PFZ
2011,5,29.93857143,0.16,29.7726,77.998,1009.6776,3.948,43934.098,PFZ
2011,6,29.03666667,0.18,28.596875,81.39361702,1007.970417,5.682978723,10643.353,NPFZ
2011,7,28.32177778,0.2,27.51574468,84.24130435,1008.132979,6.52,20818.942,PFZ
2011,8,28.01521739,0.26,27.46106383,84.31304348,1007.970213,6.239130435,30696.895,NPFZ
2011,9,28.075,0.18,27.48913043,82.74130435,1009.051702,5.560869565,19586.576,PFZ
2011,10,29.26553191,0.15,28.338,79.15306122,1010.3418,4.835416667,41957.683,PFZ
2011,11,29.14906977,0.16,28.32133333,76.83777778,1010.109333,4.497777778,42033.875,PFZ
2011,12,28.47446809,0.13,28.05319149,74.23913043,1010.849574,3.230434783,69835.406,PFZ
2012,1,27.97390244,0.11,26.9873913,72.44418605,1011.81087,3.214285714,51699.53,PFZ
2012,2,28.18195652,0.19,27.26877551,77.00816327,1010.893673,2.734042553,33361.893,PFZ
2012,3,28.46488372,0.18,27.87913043,77.80222222,1010.950217,3.153333333,39862.426,PFZ
2012,4,29.35619048,0.16,29.1173913,77.68666667,1009.645435,3.717777778,14151.874,NPFZ
2012,5,29.48590909,0.22,28.88909091,76.98409091,1009.680227,3.711627907,43065.211,PFZ
2012,6,28.88666667,0.15,28.27941176,81.81960784,1008.375882,5.901960784,16766.315,NPFZ
2012,7,28.37608696,0.19,27.77978723,81.98913043,1008.043191,5.713043478,25528.196,NPFZ
2012,8,28.15869565,0.21,27.41217391,85.94666667,1009.49587,5.904444444,27400.21,PFZ
2012,9,28.3647619,0.23,27.92066667,80.47906977,1010.138667,4.540909091,85752.874,PFZ
2012,10,29.28428571,0.24,28.39808511,78.75744681,1010.422609,4.640425532,56088.725,PFZ
2012,11,29.27325581,0.24,28.22565217,74.47173913,1011.518478,2.92,75546.436,PFZ
2012,12,28.97093023,0.25,28.18866667,75.9,1011.205435,3.652272727,92154.675,PFZ
2013,1,28.37309524,0.23,27.54581395,74.96585366,1013.454318,3.148780488,60903.643,PFZ
2013,2,28.7498,0.22,27.759,75.864,1012.8282,3.472,52246.149,PFZ
2013,3,29.32434783,0.22,28.74816327,75.45306122,1011.489375,3.321276596,22412,PFZ
2013,4,29.96065217,0.23,29.06723404,75.87234043,1009.951915,2.965957447,39597.822,PFZ
2013,5,30.12487805,0.21,29.74444444,77.35227273,1008.868444,4.43902439,34530.224,PFZ
2013,6,28.76930233,0.13,28.05645833,84.72340426,1007.252708,6.508333333,10765.956,NPFZ
2013,7,27.64488372,0.15,27.52913043,81.90888889,1007.968222,6.220930233,10364.151,NPFZ
2013,8,27.49243902,0.14,27.61022727,83.41904762,1009.493636,5.346511628,2968.551,NPFZ
2013,9,27.81560976,0.13,27.61217391,82.81333333,1010.473478,5.602222222,13431.002,NPFZ
2013,10,28.4825,0.22,28.37266667,80.13488372,1010.574043,4.908510638,33268.405,PFZ
2013,11,29.165,0.23,28.53348837,78.36428571,1011.225814,3.721428571,49389.926,PFZ
2013,12,28.60333333,0.22,27.40717391,73.99318182,1011.153778,2.833333333,56047.111,PFZ
2014,1,,,,,,,,
2014,2,,,,,,,,
2014,3,,,,,,,,
2014,4,,,,,,,,
2014,5,,,,,,,,
2014,6,,,,,,,,
2014,7,,,,,,,,
2014,8,,,,,,,,
2014,9,,,,,,,,
2014,10,,,,,,,,
2014,11,,,,,,,,
2014,12,,,,,,,,
2015,1,,,,,,,,
2015,2,,,,,,,,
2015,3,,,,,,,,
2015,4,,,,,,,,
2015,5,,,,,,,,
2015,6,,,,,,,,
2015,7,,,,,,,,
2015,8,,,,,,,,
2015,9,,,,,,,,
2015,10,,,,,,,,
2015,11,,,,,,,,
2015,12,,,,,,,,
2016,1,,,,,,,,
2016,2,,,,,,,,
2016,3,,,,,,,,
2016,4,,,,,,,,
2016,5,,,,,,,,
2016,6,,,,,,,,
2016,7,,,,,,,,
2016,8,,,,,,,,
2016,9,,,,,,,,
2016,10,,,,,,,,
2016,11,,,,,,,,
2016,12,,,,,,,,
2017,1,,,,,,,,
2017,2,,,,,,,,
2017,3,,,,,,,,
2017,4,,,,,,,,
2017,5,,,,,,,,
2017,6,,,,,,,,
2017,7,,,,,,,,
